iter	Passed	Remaining
613	3618	2274
614	3623	2268
615	3629	2262
616	3634	2256
617	3639	2249
618	3645	2244
619	3650	2237
620	3655	2231
621	3661	2225
622	3666	2218
623	3671	2212
624	3677	2206
625	3683	2200
626	3688	2194
627	3694	2188
628	3699	2181
629	3704	2175
630	3709	2169
631	3714	2162
632	3719	2156
633	3725	2150
634	3730	2144
635	3735	2137
636	3741	2132
637	3746	2125
638	3752	2119
639	3758	2113
640	3763	2107
641	3769	2101
642	3774	2095
643	3780	2090
644	3788	2085
645	3796	2080
646	3803	2075
647	3809	2069
648	3817	2064
649	3824	2059
650	3830	2053
651	3837	2048
652	3842	2041
653	3847	2035
654	3853	2029
655	3859	2023
656	3865	2017
657	3870	2011
658	3876	2005
659	3881	1999
660	3886	1993
661	3893	1987
662	3898	1981
663	3904	1975
664	3909	1969
665	3915	1963
666	3921	1957
667	3926	1951
668	3931	1945
669	3937	1939
670	3942	1932
671	3946	1926
672	3952	1920
673	3957	1914
674	3962	1907
675	3968	1902
676	3973	1895
677	3979	1889
678	3984	1883
679	3989	1877
680	3995	1871
681	4001	1865
682	4006	1859
683	4012	1853
684	4018	1847
685	4022	1841
686	4027	1835
687	4033	1828
688	4038	1823
689	4044	1817
690	4049	1810
691	4055	1804
692	4061	1799
693	4066	1792
694	4071	1786
695	4076	1780
696	4081	1774
697	4086	1767
698	4091	1761
699	4096	1755
700	4101	1749
701	4105	1742
702	4111	1736
703	4116	1730
704	4121	1724
705	4126	1718
706	4131	1712
707	4136	1705
708	4141	1700
709	4146	1693
710	4151	1687
711	4157	1681
712	4161	1675
713	4167	1669
714	4172	1663
715	4177	1657
716	4182	1650
717	4189	1645
718	4211	1645
719	4218	1640
720	4225	1635
721	4235	1630
722	4242	1625
723	4251	1620
724	4260	1616
725	4269	1611
726	4276	1605
727	4284	1600
728	4291	1595
729	4298	1589
730	4307	1584
731	4324	1583
732	4330	1577
733	4340	1573
734	4346	1567
735	4352	1561
736	4361	1556
737	4375	1553
738	4380	1546
739	4385	1541
740	4390	1534
741	4396	1528
742	4400	1522
743	4405	1515
744	4410	1509
745	4414	1503
746	4419	1496
747	4424	1490
748	4428	1484
749	4433	1477
750	4438	1471
751	4443	1465
752	4447	1458
753	4452	1452
754	4457	1446
755	4461	1439
756	4466	1433
757	4471	1427
758	4475	1421
759	4480	1414
760	4485	1408
761	4490	1402
762	4494	1396
763	4499	1389
764	4504	1383
765	4508	1377
766	4513	1371
767	4518	1364
768	4523	1358
769	4527	1352
770	4532	1346
771	4537	1340
772	4541	1333
773	4546	1327
774	4551	1321
775	4555	1315
776	4560	1308
777	4564	1302
778	4569	1296
779	4573	1290
780	4578	1283
781	4583	1277
782	4588	1271
783	4592	1265
784	4598	1259
785	4602	1253
786	4606	1246
787	4610	1240
788	4615	1234
789	4619	1228
790	4624	1221
791	4628	1215
792	4633	1209
793	4637	1203
794	4642	1197
795	4646	1190
796	4650	1184
797	4655	1178
798	4659	1172
799	4664	1166
800	4668	1159
801	4673	1153
802	4677	1147
803	4682	1141
804	4686	1135
805	4691	1129
806	4696	1123
807	4728	1123
808	4736	1118
809	4743	1112
810	4750	1106
811	4757	1101
812	4766	1096
813	4774	1090
814	4782	1085
815	4789	1079
816	4796	1074
817	4802	1068
818	4807	1062
819	4813	1056
820	4817	1050
821	4822	1044
822	4838	1040
823	4845	1034
824	4852	1029
825	4859	1023
826	4866	1018
827	4873	1012
828	4880	1006
829	4886	1000
830	4893	995
831	4899	989
832	4904	983
833	4910	977
834	4915	971
835	4920	965
